año,mes,nombre departamento,código departamento,nombre municipio,código municipio,precio promedio por litro
2013,2,boyaca,15,san miguel de sema,15676,941.2808285700638
2013,2,boyaca,15,sogamoso,15759,863.549959187593
2013,2,boyaca,15,sotaquira,15763,910.4747689487486
2013,2,boyaca,15,tibasosa,15806,841.1465612357484
2013,2,boyaca,15,toca,15814,879.5086190292758
2013,2,boyaca,15,tunja,15001,872.4963646104393
2013,2,boyaca,15,ventaquemada,15861,827.8902633376338
2013,2,caldas,17,manizales,17001,899.2197135968345
2013,2,caldas,17,salamina,17653,782.1307240346586
2013,2,caldas,17,villamaria,17873,893.2028804094283
2013,2,casanare,85,aguazul,85010,700.5833100753558
2013,2,casanare,85,monterrey,85162,688.288828056402
2013,2,casanare,85,nunchia,85225,476.3048411497731
2013,2,casanare,85,tauramena,85410,756.4779795187535
2013,2,casanare,85,yopal,85001,743.1074515453117
2013,2,cauca,19,patia,19532,705.4964539007092
2013,2,cauca,19,popayan,19001,931.6988794742574
2013,2,cauca,19,silvia,19743,886.5699929478138
2013,2,cauca,19,timbio,19807,850.0852550663872
2013,2,cesar,20,aguachica,20011,839.4271384350143
2013,2,cesar,20,agustin codazzi,20013,901.4926970199562
2013,2,cesar,20,bosconia,20060,782.1284647642426
2013,2,cesar,20,chimichagua,20175,810.1337086558761
2013,2,cesar,20,chiriguana,20178,879.229213483146
2013,2,cesar,20,el copey,20238,857.7782867613377
2013,2,cesar,20,la gloria,20383,833.4949978251414
2013,2,cesar,20,la paz,20621,823.6600486588773
2013,2,cesar,20,san alberto,20710,857.804209312832
2013,2,cesar,20,san diego,20750,875.0721390227782
2013,2,cesar,20,san martin,20770,837.1279081580819
2013,2,cesar,20,valledupar,20001,886.0476176666764
2013,2,cundinamarca,25,cajica,25126,974.2823049922904
2013,2,cundinamarca,25,chia,25175,951.8626285959671
2013,2,cundinamarca,25,cogua,25200,848.6776767900687
2013,2,cundinamarca,25,cota,25214,978.5855876865671
2013,2,cundinamarca,25,el rosal,25260,856.6636650157586
2013,2,cundinamarca,25,facatativa,25269,936.0825946026735
2013,2,cundinamarca,25,funza,25286,879.5935336764927
2013,2,cundinamarca,25,fuquene,25288,902.324768988055
2013,2,cundinamarca,25,gachancipa,25295,901.0068649885584
2013,2,cundinamarca,25,guacheta,25317,886.1633184092061
2013,2,cundinamarca,25,guasca,25322,877.4946193834642
2013,2,cundinamarca,25,la calera,25377,889.3452571063558
2013,2,cundinamarca,25,madrid,25430,845.2535862663635
2013,2,cundinamarca,25,mosquera,25473,926.6559040590406
2013,2,cundinamarca,25,sibate,25740,922.9627829928216
2013,2,cundinamarca,25,simijaca,25745,933.2205516293286
2013,2,cundinamarca,25,sopo,25758,850.7371928363182
2013,2,cundinamarca,25,subachoque,25769,914.8014184397163
2013,2,cundinamarca,25,susa,25779,877.2019530387419
2013,2,cundinamarca,25,tabio,25785,890.9442060085837
2013,2,cundinamarca,25,tenjo,25799,876.5418398924697
2013,2,cundinamarca,25,tocancipa,25817,1003.7519735358244
2013,2,cundinamarca,25,villa de san diego de ubate,25843,960.8909422056623
2013,2,cundinamarca,25,villapinzon,25873,860.4985267452403
2013,2,cundinamarca,25,zipaquira,25899,977.4355626767947
2013,2,cordoba,23,ayapel,23068,867.2681691818904
2013,2,cordoba,23,buenavista,23079,749.4133096866818
2013,2,cordoba,23,cerete,23162,835.2799657534247
2013,2,cordoba,23,chinu,23182,822.062404870624
2013,2,cordoba,23,cienaga de oro,23189,821.5383225961828
2013,2,cordoba,23,lorica,23417,782.2610294117648
2013,2,cordoba,23,montelibano,23466,808.6450444200343
2013,2,cordoba,23,monteria,23001,755.8943817130267
2013,2,cordoba,23,planeta rica,23555,812.2131147540983
2013,2,cordoba,23,pueblo nuevo,23570,737.4160236954693
2013,2,cordoba,23,sahagun,23660,745.9268715083799
2013,2,cordoba,23,san pelayo,23686,814.8091603053435
2013,2,huila,41,aipe,41016,1099.4517582280066
2013,2,huila,41,la plata,41396,842.6452809451848
2013,2,huila,41,neiva,41001,795.418561112597
2013,2,huila,41,palermo,41524,812.5795621974321
2013,2,huila,41,pitalito,41551,850.4916123019572
2013,2,la guajira,44,san juan del cesar,44650,875.5776892430279
2013,2,magdalena,47,ariguani,47058,807.2647327546825
2013,2,magdalena,47,chibolo,47170,884.3795333795334
2013,2,magdalena,47,el pinon,47258,765.7145499953751
2013,2,magdalena,47,nueva granada,47460,834.3342036553524
2013,2,magdalena,47,pijino del carmen,47545,800.3832116788321
2013,2,magdalena,47,pivijay,47551,806.6999769035338
2013,2,magdalena,47,plato,47555,848.9733649221049
2013,2,magdalena,47,sabanas de san angel,47660,870.6075398017423
2013,2,meta,50,acacias,50006,741.3569930501295
2013,2,meta,50,castilla la nueva,50150,805.9623328887877
2013,2,meta,50,cumaral,50226,794.049710024855
2013,2,meta,50,granada,50313,838.208234165749
2013,2,meta,50,guamal,50318,798.8715142038051
2013,2,meta,50,puerto lopez,50573,865.6821485120377
2013,2,meta,50,restrepo,50606,797.8200317965023
2013,2,meta,50,villavicencio,50001,885.1473151462783
2013,2,narino,52,buesaco,52110,609.6421624625644
2013,2,narino,52,cumbal,52227,816.2848116691978
2013,2,narino,52,guachucal,52317,885.8281924816641
2013,2,narino,52,ipiales,52356,798.9879884103632
2013,2,narino,52,pasto,52001,719.1084611016468
2013,2,narino,52,pupiales,52585,866.0295689348059
2013,2,narino,52,tangua,52788,708.3693699687312
2013,2,narino,52,tuquerres,52838,672.7873557198818
2013,2,norte de santander,54,chinacota,54172,860.0372140955543
2013,2,norte de santander,54,chitaga,54174,761.4216281895505
2013,2,norte de santander,54,cucuta,54001,827.0541030287342
2013,2,norte de santander,54,la esperanza,54385,835.754408883083
2013,2,norte de santander,54,toledo,54820,769.8248837963463
2013,2,quindio,63,circasia,63190,968.9862593743666
2013,2,quindio,63,filandia,63272,870.2360795454546
2013,2,quindio,63,quimbaya,63594,916.6241428590159
2013,2,quindio,63,salento,63690,892.6189614946375
2013,2,risaralda,66,dosquebradas,66170,889.5572866576906
2013,2,risaralda,66,pereira,66001,885.3774676478051
2013,2,risaralda,66,santa rosa de cabal,66682,903.5792354538117
2013,2,santander,68,barrancabermeja,68081,842.8091573180277
2013,2,santander,68,charala,68167,820.5288401122607
2013,2,santander,68,cimitarra,68190,901.6677536569458
2013,2,santander,68,el carmen de chucuri,68235,707.8325724940526
2013,2,santander,68,lebrija,68406,884.5354307556601
2013,2,santander,68,piedecuesta,68547,963.4490605492174
2013,2,santander,68,rionegro,68615,831.520323302495
2013,2,santander,68,sabana de torres,68655,817.6683420430716
2013,2,santander,68,san vicente del chucuri,68689,987.2463316452408
2013,2,santander,68,simacota,68745,778.1582200247219
2013,2,santander,68,socorro,68755,777.9389588229612
2013,2,sucre,70,galeras,70235,857.8627500633072
2013,2,sucre,70,ovejas,70508,902.9126213592233
2013,2,sucre,70,san luis de since,70742,871.6877684829301
2013,2,sucre,70,san marcos,70708,817.6825919824272
2013,2,sucre,70,san onofre,70713,787.250199840128
2013,2,sucre,70,san pedro,70717,863.6221145625534
2013,2,sucre,70,sincelejo,70001,884.162863972186
2013,2,sucre,70,tolu viejo,70823,899.602234318853
2013,2,tolima,73,cajamarca,73124,783.6769842396706
2013,2,tolima,73,ibague,73001,888.2609436534384
2013,2,valle del cauca,76,bugalagrande,76113,871.5452890846927
2013,2,valle del cauca,76,guadalajara de buga,76111,976.2291893832611
2013,2,valle del cauca,76,jamundi,76364,967.4317837029032
2013,2,valle del cauca,76,palmira,76520,901.8445167314856
2013,2,valle del cauca,76,tulua,76834,838.9945319807181
2013,2,valle del cauca,76,zarzal,76895,825.7225833218089
2013,3,antioquia,05,angostura,05038,834.7397102661995
2013,3,antioquia,05,barbosa,05079,910.1646088852549
2013,3,antioquia,05,bello,05088,923.4195050011538
2013,3,antioquia,05,belmira,05086,908.4555881100844
2013,3,antioquia,05,caceres,05120,853.3602333412701
2013,3,antioquia,05,caucasia,05154,831.4400623885919
2013,3,antioquia,05,don matias,05237,868.8019975132173
2013,3,antioquia,05,el carmen de viboral,05148,858.8394507562557
2013,3,antioquia,05,el santuario,05697,712.2881119808942
2013,3,antioquia,05,entrerrios,05264,899.1937154541964
2013,3,antioquia,05,envigado,05266,832.7472547924809
2013,3,antioquia,05,guarne,05318,900.3714523339224
2013,3,antioquia,05,la ceja,05376,897.4962538672763
2013,3,antioquia,05,la union,05400,880.521914243869
2013,3,antioquia,05,marinilla,05440,914.7415437117335
2013,3,antioquia,05,medellin,05001,813.9375908974249
2013,3,antioquia,05,rionegro,05615,851.8167358956832
2013,3,antioquia,05,san jose de la montana,05658,879.807965724615
2013,3,antioquia,05,san pedro,05664,902.5660536593982
2013,3,antioquia,05,santa rosa de osos,05686,840.1346376770618
